chromosome	start	stop	num.mark	seg.mean
CRO	61735	16895627	8732	0.1797
CRO	16896821	17212714	105	-0.2117
CRO	17214822	25574471	5321	0.1751
CRO	25574707	25662212	37	0.5064
CRO	25663310	30741496	2400	0.1384
CRO	30741656	30745210	3	-14.742
CRO	30747576	72768916	26451	0.1616
CRO	72768936	72811148	45	-12.602
CRO	72811904	81888456	5784	0.1571
CRO	81888602	81888605	2	-25.735
CRO	81888667	83885493	1347	0.1567
CRO	83886390	83888575	2	-12.434
CRO	83889370	100817103	10923	0.162
CRO	100817279	100822030	2	-12.437
CRO	100822776	106013376	2965	0.1507
CRO	106019205	106022375	17	0.7119
CRO	106024055	110187228	2642	0.1545
CRO	110192766	110227515	26	0.4806
CRO	110232974	110244998	19	12.853
CRO	110246126	210071062	48711	0.1221
CRO	210081613	210082065	2	-16.726
CRO	210083984	240391740	21185	0.0688
CRO	240394015	240394139	6	-0.7298
CRO	240396105	249224388	5929	0.0644
10	72759	150544	30	0.6233
10	152201	13024366	10878	0.1954
10	13025718	13026114	2	-1.278
10	13026118	13049245	14	0.1839
10	13049486	13050610	12	-0.2785
10	13053686	13107320	77	0.1405
10	13107408	13496244	287	0.4068
10	13496479	16467242	2495	0.1132
10	16470893	16470933	2	-14.658
10	16476271	17894976	1080	0.1941
10	17927554	17949857	3	-10.162
10	17971816	18173963	13	-0.0052
10	18185123	18199813	3	10.369
10	18223647	18975700	635	0.0986
10	18976630	21990586	2267	0.3869
10	21993991	24375263	1440	0.1117
10	24377674	24377921	10	11.332
10	24378054	29628552	3763	0.0965
10	29628966	30821673	952	-0.2409
10	30824955	43302672	5560	0.1304
10	43306235	44806054	1066	-0.1678
10	44809197	44810629	6	-13.362
10	44811095	73451597	18473	-0.1737
10	73451659	74023720	349	0.1626
10	74024526	74025367	2	-10.273
10	74027540	82056743	4880	0.164
10	82057988	82889783	606	-0.2148
10	82894469	135506704	36155	0.1781
11	198510	4970367	2474	-0.6051
11	4972005	4976272	23	-17.091
11	4976334	15737746	8105	-0.64
11	15738775	28472375	9409	0.1608
11	28477936	32328596	2458	-0.6469
11	32328926	36441269	3225	0.1552
11	36441753	37386039	726	0.6654
11	37394934	37497574	49	-0.5788
11	37504464	42897932	3569	0.1509
11	42900322	48354518	3232	-0.182
11	48355132	48598422	98	0.1502
11	48601434	48602676	2	-1.798
11	48606318	51195051	849	0.1818
11	51205141	55363340	376	-0.1749
11	55374032	55442318	48	0.1302
11	55444211	59408942	2409	-0.19
11	59412424	60198721	534	0.1646
11	60198990	60965476	470	-0.1748
11	60984460	61000494	2	13.032
11	61015806	70813928	4550	-0.1785
11	70820759	70892586	41	-0.6806
11	70892789	70950821	47	0.6545
11	70956327	71027992	53	-0.683
11	71028519	71277494	200	0.2054
11	71277826	71482054	75	-0.6022
11	71513455	71757247	112	0.155
11	71758652	72053636	139	-0.6086
11	72059705	72118294	26	0.5572
11	72121530	72227849	54	-0.6759
11	72231558	79967513	4589	0.4114
11	79967548	79967564	2	-32.575
11	79967686	82605135	2085	0.3217
11	82618283	82619649	5	-0.775
11	82624090	82679849	31	-0.2016
11	82680797	83604840	566	-0.6596
11	83604906	83831259	167	-0.1309
11	83833466	87017001	2146	-0.6825
11	87018161	87072098	30	-0.2369
11	87073016	87858362	555	-0.6709
11	87859966	87940349	80	-0.2096
11	87944005	89249899	839	0.1189
11	89249937	89550224	128	-0.2418
11	89567541	90116494	186	-0.7301
11	90117826	93172673	2241	-0.21
11	93172918	93741295	440	-0.7575
11	93745306	93819040	40	0.6199
11	93820905	96658136	1941	-0.7635
11	96658692	96833343	128	-0.1988
11	96833589	96870205	34	-0.6935
11	96870233	96974220	46	-0.237
11	96974927	96993825	15	-10.246
11	96993880	97161982	147	-0.2218
11	97165756	97542802	282	-0.6663
11	97556389	97610270	28	0.6055
11	97613761	97625084	15	-0.6478
11	97632649	98139807	400	0.7665
11	98141636	98168748	26	14.456
11	98173437	98322952	91	0.8161
11	98323997	98522768	145	0.4049
11	98532199	98610481	56	0.776
11	98611186	98878019	206	0.3815
11	98878948	99527939	516	0.0659
11	99530431	99554813	25	0.34
11	99555393	99596845	34	0.8916
11	99597565	99605161	11	0.2311
11	99609646	99654777	25	0.6666
11	99658272	100298273	485	0.2169
11	100298421	100339408	24	0.6685
11	100340318	100910692	474	0.2402
11	100912322	100932009	56	-0.6886
11	100932426	100961011	75	0.1435
11	100961827	101417871	379	-0.7112
11	101424576	101424670	2	-2.74
11	101426539	101478097	31	-0.7736
11	101483577	101824124	250	0.5248
11	101828156	101873452	34	-0.8923
11	101876810	102545247	394	0.5636
11	102551709	102661595	97	-0.7064
11	102665331	102666316	4	0.1506
11	102669645	102695486	28	-0.7591
11	102698557	102885182	128	-0.267
11	102886098	102916367	18	-0.6538
11	102917858	102938051	12	0.3078
11	102938080	102943698	3	-0.1327
11	102943929	103117512	97	-0.7575
11	103118156	103752485	451	0.0505
11	103760085	103761559	6	-0.6318
11	103762255	104428728	519	0.0358
11	104440543	105237098	599	-0.7543
11	105243358	134944770	21185	-0.2491
12	150442	8346805	5550	0.1788
12	8357507	8378251	12	0.8441
12	8393828	9630556	641	0.1265
12	9633870	9728292	25	11.173
12	9734969	34494821	17381	0.1599
12	34510783	34559309	24	-0.4246
12	34576710	37987726	102	0.0615
12	38012567	38014018	2	-1.823
12	38034358	52908254	8730	0.1473
12	52911843	52916911	7	24.955
12	52918567	55074803	1270	0.1484
12	55079182	55198207	65	28.335
12	55200734	55250549	30	1.282
12	55254958	55293466	19	22.632
12	55293787	57871290	1389	0.112
12	57878730	58301147	199	28.371
12	58302258	59191729	693	25.348
12	59195090	64757545	3449	0.1363
12	64761914	64838922	36	28.099
12	64841216	65976314	630	0.1312
12	65977303	66356552	228	27.592
12	66357914	66411692	35	0.1905
12	66412457	66446108	20	20.745
12	66448875	66670087	154	0.158
12	66673432	66770437	62	19.474
12	66771606	66777290	7	12.263
12	66777929	68744717	1550	0.1313
12	68745442	68764325	26	21.462
12	68764653	68812120	45	0.1262
12	68812390	69134402	166	0.5952
12	69136425	69343775	163	30.491
12	69349016	69659998	205	26.719
12	69670186	69723709	35	0.0876
12	69724976	69867294	99	27.703
12	69876177	70503437	466	0.127
12	70508552	70753020	130	23.733
12	70753522	70827609	46	2.749
12	70827779	70864600	24	23.588
12	70865578	70964750	82	20.425
12	70964825	71029774	62	25.311
12	71036390	71326013	213	0.163
12	71339300	71370513	40	22.173
12	71373319	71387261	22	0.0792
12	71389117	71392124	3	18.652
12	71398551	71428069	21	0.0792
12	71435821	71467396	25	2.164
12	71470970	71730170	161	2.734
12	71730804	72264383	309	1.972
12	72265576	72372530	83	30.675
12	72372601	72450832	54	24.564
12	72451502	72607314	69	3.142
12	72609368	72617320	13	20.602
12	72617497	72697459	50	30.403
12	72701659	73140138	275	0.1395
12	73146070	73278611	67	24.692
12	73278751	73928960	393	0.0909
12	73931671	73953774	18	19.236
12	73955199	74005339	25	0.136
12	74007474	74038120	18	15.276
12	74038907	74058808	10	28.308
12	74085821	74165862	58	13.804
12	74170962	74207541	28	3.008
12	74207953	74234240	21	23.784
12	74235121	74353045	57	30.656
12	74357143	75095249	411	0.6168
12	75107377	75279227	137	19.465
12	75283919	75776733	310	0.6611
12	75782483	75796721	5	27.645
12	75804377	76057091	178	0.6459
12	76057632	76153435	82	0.1712
12	76159688	77092716	567	0.6216
12	77095393	79075198	1475	0.153
12	79092497	79252123	80	27.687
12	79252396	79374308	88	0.1751
12	79383382	79398101	13	25.038
12	79398889	79579095	120	29.514
12	79579764	79936772	206	24.668
12	79942106	79974663	17	0.0393
12	79981224	80144478	87	31.143
12	80153273	80590457	256	0.0987
12	80593486	81271714	451	0.6273
12	81274065	81350719	51	16.905
12	81359863	81677803	218	0.6361
12	81677987	81695018	12	19.101
12	81697129	81838559	88	0.6835
12	81840980	81887122	31	15.165
12	81888489	82031500	86	0.6917
12	82033488	82118805	50	22.283
12	82128250	82236951	63	0.6272
12	82238376	82927053	392	0.1472
12	82930354	83201615	177	23.059
12	83203480	83308398	88	29.006
12	83313115	83332350	16	22.196
12	83332434	83344190	8	3.019
12	83346655	83378463	25	35.622
12	83385345	83577845	142	28.895
12	83587921	83843007	145	0.1317
12	83843478	83846946	7	-0.828
12	83854442	83862134	14	0.2814
12	83862671	83891930	28	0.9235
12	83896900	84070658	95	20.842
12	84070951	84367240	199	27.024
12	84369601	84385136	12	14.982
12	84385220	84438775	19	22.075
12	84441243	84488376	30	0.1636
12	84495498	84586775	56	15.875
12	84589154	84597682	6	26.747
12	84598095	84601819	4	19.232
12	84607442	84702082	71	0.0507
12	84705603	84759891	47	19.157
12	84763153	84926458	95	13.194
12	84939546	85014498	74	20.847
12	85015677	85216724	126	12.873
12	85217032	85336559	62	22.587
12	85343660	85397295	31	12.895
12	85400883	85527374	66	16.852
12	85531116	86449224	524	0.1128
12	86451478	86476255	7	29.657
12	86483104	87104318	300	0.1413
12	87108293	87127849	13	30.113
12	87136320	87150830	14	15.096
12	87153066	87156221	3	27.863
12	87166691	87330823	87	13.434
12	87340731	87504103	96	20.552
12	87504172	87916490	276	24.166
12	87920222	88000049	39	2.169
12	88004678	88312475	155	0.0913
12	88315366	88333593	14	29.391
12	88337474	88424335	67	0.1284
12	88430067	88447196	7	11.386
12	88448161	88485526	24	20.857
12	88487610	88536550	21	30.971
12	88538047	88564847	17	17.954
12	88565559	88599202	9	22.101
12	88601115	88621459	10	26.399
12	88624761	88655100	19	1.711
12	88657580	88750343	53	0.6691
12	88753298	88767966	9	16.282
12	88769443	88899074	79	0.6895
12	88904062	89037556	104	0.1078
12	89043644	89047233	7	30.348
12	89051195	89072116	8	0.4093
12	89075178	89102902	11	25.013
12	89111151	89181888	43	0.1636
12	89186212	89385328	124	17.283
12	89391336	89447395	32	22.108
12	89448533	89754793	207	0.1115
12	89755347	89776485	14	27.485
12	89782916	89915929	74	0.0859
12	89922231	89924755	5	3.215
12	89926658	89940199	8	0.0464
12	89942390	89987165	34	2.615
12	89992189	90007431	7	0.0373
12	90010354	90097759	56	18.287
12	90109321	90333421	126	0.1169
12	90337046	90367368	16	21.968
12	90373554	90378189	4	0.0395
12	90379825	90460132	50	27.146
12	90469827	90848507	271	0.1238
12	90851528	90940873	53	10.801
12	90943751	91738988	528	0.1323
12	91742590	91776944	19	19.936
12	91777507	91946918	114	0.1154
12	91949811	92046691	53	16.905
12	92048512	92821133	562	0.1036
12	92824404	92838349	26	15.325
12	92839284	92871544	39	18.985
12	92872858	92895714	26	15.594
12	92896309	93102896	156	21.636
12	93111001	93125558	18	0.0773
12	93128867	93258453	64	23.727
12	93263657	93349237	33	0.1071
12	93349632	93396369	25	28.614
12	93402675	93598949	120	0.0687
12	93603681	93613656	10	28.455
12	93618844	93719890	46	0.0837
12	93725306	93742525	12	32.357
12	93744748	93849911	41	0.0905
12	93852325	93862454	5	23.215
12	93862662	95138334	979	0.1225
12	95143809	95283971	125	13.141
12	95284561	95462234	140	27.978
12	95463811	95542173	46	0.5831
12	95545818	95578203	20	26.653
12	95581853	95639061	33	0.5064
12	95640492	95650190	6	27.495
12	95651888	95824401	175	0.5985
12	95831194	95960011	72	16.624
12	95960628	96046089	60	12.267
12	96046686	96123609	45	23.707
12	96127362	96149459	13	29.922
12	96152006	96334030	139	22.699
12	96343107	97087304	485	0.108
12	97089394	97117233	30	27.946
12	97128225	97265617	88	0.0926
12	97271555	97304464	30	28.819
12	97309483	97332517	13	37.192
12	97335350	97344791	9	0.2011
12	97352777	97660276	233	27.361
12	97666478	97670275	7	0.1185
12	97674629	97860677	183	25.321
12	97864537	97913984	81	0.1211
12	97915111	98014687	67	21.329
12	98014745	98170918	148	0.0974
12	98177274	98181761	7	25.811
12	98184362	98710500	365	0.0972
12	98713595	98750242	25	29.452
12	98753825	98795957	46	23.157
12	98796776	98912028	62	28.414
12	98915256	99125797	125	0.1185
12	99132112	99189920	43	12.484
12	99190372	99204594	15	0.7827
12	99204943	99262790	49	10.465
12	99262862	99519701	135	15.621
12	99523091	99571074	27	0.1024
12	99573426	99595376	13	0.6693
12	99598289	99795648	128	0.137
12	99795737	99798720	27	0.4246
12	99798734	100850107	565	0.1181
12	100854931	101087843	135	28.614
12	101088009	101393368	233	23.579
12	101398681	101432950	27	0.1351
12	101434284	101529494	71	23.397
12	101529573	101594322	65	28.588
12	101597729	101843845	144	23.703
12	101845693	101978890	92	20.997
12	101981154	102090363	102	15.545
12	102094643	102331947	138	19.507
12	102333709	102448350	73	27.601
12	102451727	102613538	64	0.1297
12	102615496	102901838	157	16.067
12	102907371	102937106	21	21.284
12	102938631	102956359	18	16.243
12	102958073	103076377	102	23.477
12	103076581	103260750	136	16.051
12	103260806	103326430	37	19.822
12	103326468	103358665	15	15.693
12	103358827	103383365	24	25.079
12	103386692	103583647	96	14.728
12	103587734	103645576	30	22.395
12	103645671	103663918	11	15.973
12	103666013	103740464	53	26.755
12	103741633	103783356	39	20.328
12	103783562	104185132	327	25.593
12	104187419	104756080	371	0.0807
12	104757442	104797539	33	20.416
12	104803110	105022139	214	0.1268
12	105023827	105102262	78	27.639
12	105103396	105259971	97	0.0638
12	105260413	105282098	11	2.223
12	105290200	105519391	148	0.1142
12	105523763	105595405	45	27.791
12	105595563	107231328	1252	0.1429
12	107236397	107264627	11	31.299
12	107266933	108014346	526	0.1146
12	108016202	108114174	61	19.926
12	108121746	108145351	17	0.1419
12	108150171	108421748	207	1.118
12	108424563	109597157	773	0.1258
12	109601440	109601860	3	0.9627
12	109603494	132120715	15556	0.131
12	132132584	132133335	13	0.9178
12	132142331	133570814	461	0.1517
12	133579097	133726624	84	-0.2827
12	133729999	133778189	27	-0.6784
13	19026949	29851751	7556	-0.6415
13	29852502	30015007	158	-41.585
13	30016362	30046928	24	-0.837
13	30047005	30070247	11	-31.343
13	30070968	30104154	33	-56.154
13	30104818	30125101	23	-30.739
13	30126268	30236799	87	-0.7878
13	30236930	30327969	51	-45.535
13	30329033	30464084	79	-0.6919
13	30468304	30475887	11	-25.021
13	30475913	31851133	1113	-0.6624
13	31853948	31863603	12	-42.489
13	31864327	31891161	9	-0.345
13	31892686	31904761	5	-0.9498
13	31905449	32733327	560	-36.481
13	32738214	32784009	42	-0.5766
13	32787876	32870443	56	-34.475
13	32873153	115108397	54229	-0.6388
14	19002124	20200409	84	-0.1239
14	20201117	20425509	108	-0.6408
14	20425860	27803000	5004	-0.2145
14	27808579	33918760	3724	-0.6285
14	33920708	34348287	404	-0.1326
14	34349632	34403241	35	-0.5728
14	34403778	34410372	5	-16.388
14	34410892	35282243	552	-0.6371
14	35284284	36113873	397	-0.2157
14	36115606	36740806	395	0.2475
14	36742152	36773941	26	-0.2399
14	36780755	38203775	970	-0.6258
14	38212846	38367712	81	-0.1955
14	38371190	38572687	110	0.1909
14	38574587	38617655	28	-0.4759
14	38617989	38659408	38	-0.1164
