Chromosome	chromStart	chromEnd	Genes
chr1	84609952	84704181	PRKACB
chr1	114419435	114430169	BCL2L15
chr1	204485506	204527248	MDM4
chr1	201865583	201915716	LMOD1
chr1	201798287	201853422	IPO9
chr2	152973314	153032506	STAM2
chr3	169492052	169507504	MYNN
chr3	27414211	27498245	SLC4A7
chr5	10353750	10440500	MARCH_6
chr5	56215428	56247957	MIER3
chr5	56205087	56212771	C5orf35
chr5	5140442	5320415	ADAMTS16
chr6	151815165	151942328	C6orf97
chr6	127587882	127609705	RNF146
chr6	143743968	143771841	ADAT2
chr10	53455245	53459355	CSTF2T
chr10	5680819	5708558	ASB13
chr17	53029258	53046146	COX11
chr19	18545197	18548972	ISYNA1
